bigram,frequency,probability
вх,1888,1.719e-05
сњ,1886,1.718e-05
ия,1874,1.707e-05
фн,1867,1.7e-05
лх,1861,1.695e-05
нћ,1819,1.657e-05
йс,1787,1.628e-05
рѕ,1731,1.577e-05
шз,1719,1.566e-05
жђ,1712,1.559e-05
зш,1709,1.557e-05
вњ,1693,1.542e-05
цц,1649,1.502e-05
љп,1635,1.489e-05
зф,1634,1.488e-05
фф,1631,1.486e-05
ая,1628,1.483e-05
пг,1588,1.446e-05
лш,1585,1.444e-05
фб,1579,1.438e-05
бт,1547,1.409e-05
рџ,1529,1.393e-05
ћч,1492,1.359e-05
шг,1474,1.343e-05
љц,1468,1.337e-05
ой,1464,1.334e-05
сш,1422,1.295e-05
ий,1416,1.29e-05
вы,1386,1.263e-05
ћл,1357,1.236e-05
тж,1354,1.233e-05
ѓо,1336,1.217e-05
љј,1322,1.204e-05
кж,1308,1.192e-05
оѕ,1296,1.181e-05
чт,1294,1.179e-05
оџ,1267,1.154e-05
нњ,1260,1.148e-05
фп,1227,1.118e-05
ля,1206,1.099e-05
ѕр,1198,1.091e-05
бг,1195,1.089e-05
чз,1189,1.083e-05
бц,1166,1.062e-05
їп,1166,1.062e-05
жв,1157,1.054e-05
рё,1153,1.05e-05
ьн,1147,1.045e-05
ћф,1133,1.032e-05
лч,1123,1.023e-05
сѓ,1123,1.023e-05
вф,1121,1.021e-05
ей,1119,1.019e-05
фм,1115,1.016e-05
ћш,1081,9.85e-06
хћ,1071,9.76e-06
жм,1066,9.71e-06
фј,1066,9.71e-06
пћ,1058,9.64e-06
ьк,1049,9.56e-06
їо,1042,9.49e-06
дћ,1013,9.23e-06
џу,993,9.05e-06
ѕо,962,8.77e-06
чд,940,8.57e-06
пф,938,8.55e-06
јљ,933,8.5e-06
јћ,921,8.39e-06
оє,916,8.35e-06
ры,907,8.26e-06
сђ,895,8.16e-06
йз,889,8.1e-06
чљ,888,8.09e-06
ай,885,8.06e-06
сћ,883,8.05e-06
ще,867,7.9e-06
љм,862,7.86e-06
ты,861,7.85e-06
бх,860,7.84e-06
вж,847,7.72e-06
џм,824,7.51e-06
бњ,818,7.45e-06
мђ,812,7.4e-06
чб,804,7.33e-06
ся,800,7.29e-06
зж,794,7.24e-06
пђ,788,7.18e-06
сж,787,7.17e-06
лж,786,7.16e-06
пњ,783,7.14e-06
ћж,766,6.98e-06
єо,760,6.93e-06
рі,753,6.86e-06
яс,751,6.85e-06
ѓр,740,6.74e-06
ћц,724,6.6e-06
яп,724,6.6e-06
љб,723,6.59e-06
ые,718,6.54e-06
ёр,705,6.43e-06
ђс,703,6.41e-06
ят,701,6.39e-06
ћх,701,6.39e-06
ђр,698,6.36e-06
йп,684,6.24e-06
бф,658,6e-06
ян,653,5.95e-06
чр,650,5.93e-06
вћ,641,5.84e-06
гђ,627,5.72e-06
цф,620,5.65e-06
ћњ,615,5.61e-06
ѓп,599,5.46e-06
ћћ,591,5.39e-06
ір,586,5.34e-06
мџ,585,5.33e-06
шш,584,5.32e-06
лю,565,5.15e-06
йн,565,5.15e-06
жп,563,5.13e-06
жс,563,5.13e-06
љт,561,5.12e-06
чц,550,5.02e-06
њк,544,4.96e-06
њп,544,4.96e-06
шх,542,4.94e-06
яв,538,4.91e-06
ѕс,528,4.82e-06
ёс,524,4.78e-06
зљ,522,4.76e-06
жк,518,4.72e-06
гћ,517,4.72e-06
хњ,505,4.61e-06
як,504,4.6e-06
фг,499,4.55e-06
ыв,485,4.42e-06
сь,477,4.35e-06
лы,477,4.35e-06
ьв,474,4.32e-06
зы,470,4.29e-06
вђ,468,4.27e-06
љр,464,4.23e-06
рє,462,4.21e-06
фв,461,4.21e-06
шж,460,4.2e-06
љв,456,4.16e-06
ћђ,454,4.14e-06
нь,454,4.14e-06
кђ,452,4.12e-06
ьп,450,4.11e-06
оі,450,4.11e-06
ых,449,4.1e-06
фц,448,4.09e-06
цш,447,4.08e-06
љз,444,4.05e-06
йк,438,4e-06
чг,436,3.98e-06
љњ,435,3.97e-06
ня,434,3.96e-06
цч,421,3.84e-06
ям,420,3.83e-06
бш,400,3.65e-06
фз,400,3.65e-06
эт,394,3.6e-06
цњ,391,3.57e-06
йд,390,3.56e-06
єр,389,3.55e-06
рґ,388,3.54e-06
іо,387,3.53e-06
ѓс,376,3.43e-06
йч,374,3.41e-06
ыс,374,3.41e-06
яд,372,3.4e-06
њн,371,3.39e-06
йт,371,3.39e-06
дђ,366,3.34e-06
њд,366,3.34e-06
щи,362,3.3e-06
ћљ,358,3.27e-06
ря,355,3.24e-06
бы,354,3.23e-06
ым,349,3.19e-06
шф,344,3.14e-06
ђн,342,3.12e-06
пж,336,3.07e-06
бщ,335,3.06e-06
рї,329,3e-06
ѕп,328,2.99e-06
мы,323,2.95e-06
ып,322,2.94e-06
ье,320,2.92e-06
њц,318,2.9e-06
яо,317,2.89e-06
фш,315,2.88e-06
ык,312,2.85e-06
ґр,306,2.79e-06
ђп,306,2.79e-06
жз,303,2.77e-06
ьт,303,2.77e-06
ию,302,2.76e-06
яг,300,2.74e-06
ђм,300,2.74e-06
ащ,299,2.73e-06
лћ,299,2.73e-06
яр,298,2.72e-06
цћ,297,2.71e-06
оя,295,2.69e-06
ыл,294,2.69e-06
яб,293,2.68e-06
ьб,288,2.63e-06
цж,286,2.61e-06
яи,285,2.6e-06
ещ,284,2.59e-06
бъ,283,2.59e-06
ую,280,2.56e-06
ьа,280,2.56e-06
рь,276,2.52e-06
эк,272,2.48e-06
йм,270,2.47e-06
ял,269,2.46e-06
ют,269,2.46e-06
ща,267,2.44e-06
йо,264,2.41e-06
фх,261,2.38e-06
ды,258,2.36e-06
ьм,258,2.36e-06
яз,251,2.29e-06
йв,251,2.29e-06
йр,250,2.28e-06
оґ,250,2.28e-06
йа,249,2.28e-06
ыи,245,2.24e-06
зћ,245,2.24e-06
аю,244,2.23e-06
жт,242,2.21e-06
лџ,241,2.2e-06
ощ,237,2.17e-06
тџ,233,2.13e-06
дџ,231,2.11e-06
тя,230,2.1e-06
њм,229,2.09e-06
бж,227,2.08e-06
бч,223,2.04e-06
оё,223,2.04e-06
чч,221,2.02e-06
љг,220,2.01e-06
пќ,220,2.01e-06
хђ,217,1.98e-06
жг,217,1.98e-06
ні,214,1.96e-06
чш,213,1.95e-06
ущ,212,1.94e-06
ъл,209,1.91e-06
тђ,208,1.9e-06
гџ,208,1.9e-06
сы,208,1.9e-06
ьи,208,1.9e-06
эл,207,1.89e-06
чф,207,1.89e-06
йг,207,1.89e-06
аї,206,1.88e-06
яа,205,1.88e-06
вя,203,1.86e-06
їн,202,1.85e-06
лњ,199,1.82e-06
юб,196,1.79e-06
ґо,196,1.79e-06
ьо,195,1.78e-06
сџ,195,1.78e-06
ищ,195,1.78e-06
њг,194,1.77e-06
кџ,193,1.77e-06
їр,193,1.77e-06
ын,192,1.76e-06
ющ,191,1.75e-06
мя,190,1.74e-06
љч,188,1.72e-06
љл,188,1.72e-06
мъ,186,1.7e-06
њв,184,1.68e-06
ыр,183,1.67e-06
уй,180,1.65e-06
њб,180,1.65e-06
ыш,178,1.63e-06
юн,178,1.63e-06
йи,177,1.62e-06
іс,176,1.61e-06
юр,174,1.59e-06
ёо,174,1.59e-06
юс,173,1.58e-06
ья,172,1.57e-06
ќо,170,1.56e-06
щт,166,1.52e-06
ыд,166,1.52e-06
ея,164,1.5e-06
йл,163,1.49e-06
њр,160,1.47e-06
чх,159,1.46e-06
ьг,159,1.46e-06
єп,159,1.46e-06
њз,157,1.44e-06
њч,156,1.43e-06
яц,155,1.42e-06
жц,154,1.41e-06
ьд,152,1.39e-06
дь,149,1.37e-06
їс,148,1.36e-06
ыт,147,1.35e-06
йб,145,1.33e-06
жч,143,1.31e-06
юл,141,1.29e-06
ьр,140,1.28e-06
ью,140,1.28e-06
йц,140,1.28e-06
хџ,139,1.27e-06
љх,139,1.27e-06
вџ,138,1.27e-06
аэ,137,1.26e-06
шђ,137,1.26e-06
џс,135,1.24e-06
йу,134,1.23e-06
оэ,132,1.21e-06
юк,131,1.2e-06
мь,129,1.18e-06
љф,128,1.17e-06
лэ,126,1.16e-06
цљ,124,1.14e-06
яе,124,1.14e-06
лљ,124,1.14e-06
њј,123,1.13e-06
иэ,120,1.1e-06
яу,120,1.1e-06
њт,120,1.1e-06
вэ,119,1.09e-06
ях,118,1.08e-06
пщ,117,1.07e-06
юп,115,1.06e-06
въ,114,1.05e-06
юд,113,1.04e-06
хъ,110,1.01e-06
яч,108,9.9e-07
щк,107,9.8e-07
ою,107,9.8e-07
ыо,107,9.8e-07
јђ,106,9.7e-07
ър,106,9.7e-07
пя,106,9.7e-07
рў,106,9.7e-07
чћ,104,9.6e-07
џк,104,9.6e-07
ыб,103,9.5e-07
џп,102,9.4e-07
ъс,101,9.3e-07
єс,101,9.3e-07
ві,101,9.3e-07
бя,100,9.2e-07
зџ,100,9.2e-07
бћ,99,9.1e-07
вё,99,9.1e-07
ыз,98,9e-07
цђ,97,8.9e-07
ьч,97,8.9e-07
њш,96,8.8e-07
йж,95,8.7e-07
зђ,95,8.7e-07
рю,94,8.6e-07
щн,93,8.6e-07
яж,92,8.5e-07
ін,92,8.5e-07
съ,92,8.5e-07
вь,90,8.3e-07
ђњ,89,8.2e-07
ік,89,8.2e-07
љж,88,8.1e-07
ъе,87,8e-07
іе,86,7.9e-07
йе,84,7.7e-07
ђк,84,7.7e-07
ќп,83,7.6e-07
ґс,82,7.6e-07
яф,82,7.6e-07
њл,81,7.5e-07
ьу,81,7.5e-07
ън,80,7.4e-07
ыа,80,7.4e-07
іп,80,7.4e-07
эн,79,7.3e-07
ақ,78,7.2e-07
ўз,78,7.2e-07
фч,78,7.2e-07
тъ,77,7.1e-07
тэ,77,7.1e-07
яш,76,7e-07
ьл,76,7e-07
юч,75,6.9e-07
ьф,75,6.9e-07
чж,75,6.9e-07
рѣ,75,6.9e-07
тю,74,6.8e-07
іи,74,6.8e-07
лъ,72,6.6e-07
џт,72,6.6e-07
жж,72,6.6e-07
дя,72,6.6e-07
юм,71,6.6e-07
лђ,71,6.6e-07
цы,70,6.5e-07
эр,70,6.5e-07
ёп,70,6.5e-07
іі,70,6.5e-07
бђ,69,6.4e-07
бѣ,68,6.3e-07
қа,68,6.3e-07
жх,68,6.3e-07
жф,68,6.3e-07
қш,67,6.2e-07
сё,67,6.2e-07
сэ,67,6.2e-07
џр,67,6.2e-07
ђб,67,6.2e-07
ћџ,67,6.2e-07
яю,66,6.1e-07
щу,66,6.1e-07
кі,66,6.1e-07
ђј,65,6e-07
џн,65,6e-07
юз,64,5.9e-07
пь,63,5.8e-07
ёт,63,5.8e-07
юг,63,5.8e-07
ыг,62,5.7e-07
лё,61,5.6e-07
ён,61,5.6e-07
ът,61,5.6e-07
ъи,61,5.6e-07
юв,61,5.6e-07
йш,61,5.6e-07
ъп,61,5.6e-07
цџ,60,5.6e-07
љћ,60,5.6e-07
ъв,60,5.6e-07
ўр,59,5.5e-07
жш,58,5.4e-07
чь,58,5.4e-07
ті,56,5.2e-07
ръ,56,5.2e-07
къ,56,5.2e-07
иў,55,5.1e-07
дъ,55,5.1e-07
ню,54,5e-07
юи,54,5e-07
ўс,54,5e-07
йф,53,4.9e-07
ґп,53,4.9e-07
ящ,51,4.7e-07
яэ,51,4.7e-07
њх,51,4.7e-07
џд,51,4.7e-07
мэ,51,4.7e-07
еэ,51,4.7e-07
дѣ,50,4.6e-07
